course_code,course_title,course_descr,instructor,scheduled_time_start,scheduled_time_end,call_number,campus,class_id,course_subtitle,department,department_code,instructor_wikipedia_link,link,location,method_of_instruction,open_to,points,prerequisites,scheduled_days,section_key,type
ACTU PS5580,FINANCIAL MARKETS AND MANAGEMENT FOR INS,"The first half of this course introduces key financial markets including interest rates, equity, foreign exchange, mortgage, and some derivatives. It also discusses interactions of the Federal Reserve and the securities firms and their effects on the markets. The 2nd half introduces some key metrics used in managing insurance companies including earnings, regulatory/economic capital and embedded value. These metrics are discussed in the context of insurance risks, financial markets, and regulatory regimes. The 2nd half also provides an overview of the major actuarial/finance functions in a typical insurance company (i.e. Valuation, Pricing, Risk, etc.) and more importantly how they use these metrics to manage profitability and risk. The course is intended to provide students with a broader background when dealing with financial and insurance products.  This course also touches on many topics required for the upper level actuarial exams by the SOA and should help lay the conceptual foundation. These exams include Corporate Finance, ERM, Individual Life and Annuity pricing and risk management, Life Finance and Valuation, and Investment Risk Management.
",,6:10pm,8:55pm,12432,Morningside,K5580-20233-001,FINANCIAL MRKTS & INSTITUTIONS,Actuarial Science,ACTU,,http://www.columbia.edu/cu/bulletin/uwb/subj/ACTU/K5580-20233-001/,To be announced,In-Person,,3,,F,20233ACTU5580K001,SEMINAR
ACTU PS5619,PENSIONS,"This course is a workshop in ERISA and Taxation Rules for Actuaries. Actuarial science can be applied and cover a number of welfare benefit arrangements (such as life insurance, medical, disability, severance etc.), qualified plans and nonqualified deferred compensation plans. The services and products that are developed in the actuarial field may be governed by certain federal laws. In the U.S., these arrangements are governed by the Employee Retirement Income Security Act (""ERISA""). In addition, certain federal taxation and reporting rules may apply. To be successful in the field will require an understanding of these rules, reporting requirements, taxation rules and the government agencies (Internal Revenue Service, Department of Labor and Pension Benefit Guarantee Corporation) responsible for oversight of such arrangements. Other topics covered will include SEPs, Simple Plans, 403(b) plans, 457 plans and Nonqualified Deferred Compensation Plans.
",,7:40pm,8:55pm,12433,Morningside,K5619-20233-D01,,Actuarial Science,ACTU,,http://www.columbia.edu/cu/bulletin/uwb/subj/ACTU/K5619-20233-D01/,NONE NONE,In-Person,,3,,TR,20233ACTU5619KD01,ONLINE COURS
ACTU PS5621,INVESTMENT & ALM FOR ACTUARIES,"The goal of this elective course is to provide you with a broad understanding of fixed income securities and how they are used for asset liability management (ALM) in financial institutes. This course is designed for individuals who currently work or plan to work as insurance and financial professionals such as actuaries, traders, and quants. The course builds on concepts introduced in several of the program’s core courses and emphasizes the application of theories. The course covers content adapted from the SOA syllabus for fellowship exams and is split into four parts: interest rate risk measurements, interest rate management—ALM strategy, ALM decision-based asset allocation, and value-based management. In this course, you will learn several ALM techniques related to mitigating interest rate risks, managing risk and return trade-offs, and setting strategic asset allocation (SAA) to achieve an optimized risk/return portfolio. Additionally, you will be introduced to the concepts of value-based management and economic value of liabilities. Completing this course will give you a fundamental basis for understanding ALM in financial organizations and further prepare you to apply these concepts in real-life situations under both generally accepted accounting principles (GAAP) and market consistent approaches.
",,7:40pm,8:55pm,12435,Morningside,K5621-20233-D01,INVESTMENT & ALM FOR ACTU,Actuarial Science,ACTU,,http://www.columbia.edu/cu/bulletin/uwb/subj/ACTU/K5621-20233-D01/,ONLINE ONLY,On-Line Only,,3,,MW,20233ACTU5621KD01,ONLINE COURS
ACTU PS5821,ACTUARIAL METHODS,"The Actuarial Methods course explores models for evaluating and managing risks of life contingent contracts, their theoretical basis and applications. Topics include survival models, life insurance and annuity benefits, premium and reserve calculations related to policies on a single life, as well as option pricing. This course also covers materials relevant to the long-term section of the Fundamentals of Actuarial Mathematics (FAM) exam of the Society of Actuaries. This is a core course of the M.S. in Actuarial Science program.
",Yubo Wang,8:40am,9:55am,12396,Morningside,K5821-20233-001,,Actuarial Science,ACTU,,http://www.columbia.edu/cu/bulletin/uwb/subj/ACTU/K5821-20233-001/,To be announced,In-Person,,3,,TR,20233ACTU5821K001,LECTURE
ACTU PS5822,ADVANCED ACTUARIAL METHODS,"The purpose this class is to develop the student’s knowledge of the theoretical basis of certain actuarial models and the application of those models to insurance and other financial risks. A thorough knowledge of calculus, probability, and interest theory is assumed. Knowledge of risk management at the level of Exam P is also assumed.  The combination of these two classes covers the material for the FAM-L and ALTAM examinations of the Society of Actuaries. This is a core class of the Actuarial Science program. Students who have already taken and passed the MLC or LTAM exam for SOA are exempted from this class and can substitute an elective.
",Abraham Weishaus,1:10pm,2:25pm,12398,Morningside,K5822-20233-001,ADVANCED ACTUARIAL METHOD,Actuarial Science,ACTU,,http://www.columbia.edu/cu/bulletin/uwb/subj/ACTU/K5822-20233-001/,To be announced,In-Person,,3,,MW,20233ACTU5822K001,LECTURE
ACTU PS5823,ACTUARIAL MODELS,"This course provides an introduction to the tools for pricing and reserving for short term insurance. We will discuss methods for calculating IBNR reserves, ratemaking, frequency and severity models used for modeling coverage modifications, statistical methods for fitting, evaluating, and selecting parametric models for frequency and severity, and three credibility methods.  This class covers the short-term material of Exam FAM and also covers the material of Exam ASTAM of the Society of Actuaries, and some of the material on Exams MAS I, MAS II, and 5 of the Casualty Actuarial Society. This is a core class of the Actuarial Science program. Students who have already taken and passed the FAM exam (or its short term portion) and the ASTAM exam administered by the SOA are exempted from this class and can substitute an elective.
",Abraham Weishaus,11:40am,12:55pm,12399,Morningside,K5823-20233-001,,Actuarial Science,ACTU,,http://www.columbia.edu/cu/bulletin/uwb/subj/ACTU/K5823-20233-001/,To be announced,In-Person,,3,,MW,20233ACTU5823K001,LECTURE
ACTU PS5824,Advanced Predictive Modeling Application,"This course discusses Bayesian methods for estimating linear models. We discuss three methods for estimating the Bayesian posterior: grid approximation, quadratic approximation, and Markov Chain Monte Carlo (MCMC) methods. Bayesian methods are used to estimate linear regression models and generalized linear models. We also use Bayesian methods to estimate multilevel models, also known as linear mixed models. We also estimate linear mixed models using non-Bayesian methods. We learn how to build, estimate, and evaluate these models and how to select the best one.  This class covers most of the material of Exam MAS II of the Casualty Actuarial Society. This is a core class of the Actuarial Science program. Students may take either this class or Actuarial Methods II. Those who have already taken and passed the MAS II exam for CAS are exempted from this class and can substitute an elective.
",Abraham Weishaus,2:40pm,3:55pm,12402,Morningside,K5824-20233-001,ACTUARIAL MODELS II,Actuarial Science,ACTU,,http://www.columbia.edu/cu/bulletin/uwb/subj/ACTU/K5824-20233-001/,To be announced,In-Person,,3,,MW,20233ACTU5824K001,LECTURE
ACTU PS5840,PREDICTIVE MODELING IN FINANCE & INSURAN,"This course introduces to the students, generalized linear models (GLM), time series models, and some popular statistical learning models such as decision trees models as well as random forests and boosting trees.  The aim for GLM is to provide a flexible framework for the analysis and model building using the likelihood techniques for almost any data type. The aim for the statistical learning models is to build and predict or understand data structure (if unsupervised) using statistical learning methods such as tree-based for supervised learning and the Principle Component Analysis and Clustering for unsupervised learning.  It develops a student’s knowledge of the theoretical basis in predictive modeling, computational implementation of the models and their application in finance and insurance. Tools such as cross-validation and techniques such as regularization and dimension reduction for fitting and selecting models are explored.  We also implement these models using a combination of Excel and R.  The class covers the material of Exams, Statistics for Risk Modeling (SRM) and Predictive Analytics (PA) of Society of Actuaries, and some material of Exams, Modern Actuarial Statistics I (MAS-I) and MAS II by the Casualty Actuarial Society. This is a core course for the Actuarial Science students. Students who have already taken and passed the SRM and PA exams administered by the SOA are exempted from this class and can substitute an elective.
",Lina Xu,2:40pm,3:55pm,12403,Morningside,K5840-20233-001,PREDICT MODLNG IN FIN & INSRNC,Actuarial Science,ACTU,,http://www.columbia.edu/cu/bulletin/uwb/subj/ACTU/K5840-20233-001/,To be announced,In-Person,,3,,TR,20233ACTU5840K001,SEMINAR
ACTU PS5841,DATA SCIENCE IN FINANCE AND INSURANCE,"This course explores machine learning models, their theoretical basis, computing implementation and applications in finance and insurance.  It discusses machine learning models for regression, classification and unsupervised learning;  tools such as cross validation and  techniques such as regularization, dimension reduction and ensemble learning;  and select algorithms for fitting machine learning models.  This course offers students an intensive hands-on experience where they combine theoretical understanding, domain knowledge and coding skills to better inform data-driven decision making.  Some topics covered are relevant to the statistical learning portion of the Society of Actuaries (SOA) and the Casualty Actuarial Society (CAS) curricula, and the quantitative methods section of the Chartered Financial Analyst (CFA) Institute curriculum.  This is a core course of the Actuarial Science program.
",Yubo Wang,10:10am,11:25am,12404,Morningside,K5841-20233-001,DATA SCIENCE IN FIN & INSURANC,Actuarial Science,ACTU,,http://www.columbia.edu/cu/bulletin/uwb/subj/ACTU/K5841-20233-001/,To be announced,In-Person,,3,,TR,20233ACTU5841K001,LECTURE
ACTU PS5842,Advanced Data Science Applications in Fi,"The Advanced Data Science Applications in Finance and Insurance course covers topics in database navigation, select advanced predictive analytics models and model interpretability. Topics include relational databases, generalized additive models, deep learning models, linear mixed models, Bayesian approaches, and interpretable machine learning.  Course discussions help students develop an understanding of the models and methodologies, as well as the ability to implement these models in R or python using opensource packages. Course assignments help students practice applying these models to financial, insurance and other data, as well as gain additional insights through validating aspects of the models. After taking this course, students will be able to apply these advanced predictive analytics models to financial and insurance data to better inform data-driven decision making by combining their theoretical understanding, domain knowledge and coding skills.  Some topics covered are relevant to the Advanced Topics in Predictive Analytics (ATPA) exam of the Society of Actuaries, and (with a more analytical emphasis) to the quantitative methods section of the CFA Program Level II exam by the CFA Institute.  Familiarity with machine learning models covered in the Data Science in Finance and Insurance course is helpful. Prior exposure to linear algebra, calculus, statistics, and a working knowledge of python, R and spreadsheets are necessary.
",Yubo Wang,2:40pm,3:55pm,12406,Morningside,K5842-20233-001,Adv Data Sci App in Fin a,Actuarial Science,ACTU,,http://www.columbia.edu/cu/bulletin/uwb/subj/ACTU/K5842-20233-001/,To be announced,In-Person,,3,,TR,20233ACTU5842K001,LECTURE
